#"Calibrated Arclamps Observed with NIRSPEC (R=25,000):  0.95 - 2.62 microns",,,,,,,,
#,,,,,,,,
#Wavelength (A in vac),Arc Lamp,Counts (0.25sx15),Line ID Reference, ,Echelle Order,,Broadband Filter,
11988.19,Ne,13000,NIST,,,,,
12029.94,Ar,1200,NIST,,,Order 63,,
12069.64,Ne,15000,NIST,,,,,
12080.52,Kr,2200,NIST,,,,,
12088.11,Xe,1300,NIST,,,,,
12115.64,Ar,25000,NIST,,,,,
12121.11,Kr,2500,NIST,,,,,
12126.87,Kr,1800,NIST,,,,,
12143.06,Ar,12500,NIST,,,,,
12207.88,Kr,11500,NIST,,Order 62,,,
12238.59,Xe,2500,NIST,,,,,
12261.16,Xe,400,NIST,,,,,
12276.24,Xe,300,NIST,,,,,
12324.45,Kr,300,NIST,,,,,
12346.77,Ar,8500,NIST,,,,,
12359.20,Ar,1500,NIST,,,,,
12406.22,Ar,17000,NIST,,,Order 61,,
12442.72,Ar,43000,NIST,,,,,
12454.62,Xe,300,NIST,,,,,
12459.53,Ar,14000,NIST,,,,,
12462.80,Ne,2000,NIST,,,,,
12491.08,Ar,32000,NIST,,,,,
12557.76,Ar,300,NIST,,,,,
12625.07,Ar,2000,NIST,,Order 60,,NIRSPEC-4,
12626.85,Xe,80000,NIST,,,,,
12641.94,Ar,1400,U Kentucky,,,,,
12643.78,Ne,850,NIST,,,,,
12646.20,Ne,1250,NIST,,,,,
12654.44,Ne,700,NIST,,,,,
12661.81,Ne,800,NIST,,,,,
12687.00,Ne,600,NIST,,,,,
12692.67,Ne,17000,NIST,,,,,
12705.76,Ar,77000,NIST,,,,,
12736.90,Ar,19000,NIST,,,,,
12749.72,Ar,13000,NIST,,,,,
12752.61,Ne,1200,NIST,,,,,
12773.02,Ne,3000,NIST,,,,,
12786.02,Kr,8000,NIST,,,,,
12865.41,Kr,12000,NIST,,,Order 59,,
12882.26,Kr,55000,NIST,,,,,
12915.55,Ne,25000,NIST,,,,,
12936.73,Ar,48000,NIST,,,,,
12960.20,Ar,260000,NIST,,,,,
12981.53,Kr,500,NIST,,,,,
12988.87,Kr,3500,NIST,,,,,
13011.82,Ar,65000,NIST,,,,,
13123.71,Kr,300,NIST,,Order 58,,,
13181.01,Kr,90000,NIST,,,,,
13193.73,Kr,700,NIST,,,,,
13214.28,Kr,1900,NIST,,,,,
13217.60,Ar,150000,NIST,,,,,
13222.86,Ne,12000,NIST,,,,,
13231.73,Ar,100000,NIST,,,,,
13234.52,Ar,32000,NIST,,,,,
13305.95,Ar,4200,U Kentucky,,,Order 57,,
13307.94,Kr,700,NIST,,,,,
13316.85,Ar,170000,NIST,,,,,
13333.83,Ar,3500,U Kentucky,,,,,
13335.5,Xe,1200,NIST,,,,,
13341.53,Kr,10000,NIST,,,,,
13370.77,Ar,170000,NIST,,,,,
13410.25,Ar,32000,NIST,,,,,
13546.86,Xe,14000,NIST,,Order 56,,,
13577.33,Ar,28000,NIST,,,,,
13603.05,Ar,34000,NIST,,,,,
13626.38,Ar,320000,NIST,,,,,
13637.95,Kr,220000,NIST,,,,,
13660.21,Xe,120000,NIST,,,,,
13662.12,Kr,57000,NIST,,,,,
13682.29,Ar,130000,NIST,,,,,
13767.48,Kr,1500,NIST,,,Order 55,,
13803.80,Kr,800,NIST,,,,,
13829.50,Ar,34000,NIST,,,,,
13832.18,Ar,4500,U Kentucky,,,,,
13836.66,Kr,7500,NIST,,,,,
13870.80,Ar,600,U Kentucky,,,,,
13886.65,Kr,30000,NIST,,,,,
13911.28,Ar,6800,NIST,,,,,
13914.36,Ar,18000,U Kentucky,,,,,
13923.4	,Xe,39000,NIST,,,,,
13927.85,Kr,9700,NIST,,,,,
13942.81,Kr,500,NIST,,,,,
14049.5	,Kr,16000,Keck List,,Order 54,,,
14097.49,Ar,110000,NIST,,,,,
14108.15,Kr,6300,NIST,,,,,
14132.0	,Xe,700,NIST,,,,,
14145.96,Xe,51000,NIST,,,,,
14160.49,Kr,3250,NIST,,,,,
14345.17,Kr,5200,NIST,,,Order 53,,
14351.40,Kr,55000,NIST,,,,,
14368.83,Xe,7900,NIST,,,,,
14388.71,Xe,500,NIST,,,,,
14406.22,Kr,12000,NIST,,,,,
14430.74,Kr,180000,NIST,,,,,
14472.81,Kr,5500,NIST,,,,,
14600.46,Ar,4800,NIST,,Order 52,,,
14635.4	,Ar,650,U Kentucky,,,,,
14653.2	,Ar,12000,U Kentucky,,,,,
14663.85,Xe,2800,NIST,,,,,
14719.57,Kr,900,NIST,,,,,
14736.41,Xe,210000,NIST,,,,,
14738.47,Kr,24000,NIST,,,,,
14743.17,Ar,6350,NIST,,,,,
14854.1,Xe,600,NIST,,,Order 51,,
14965.98,Kr,24000,NIST,,,,,
14977.83,Kr,900,NIST,,,,,
14990.41,Ne,1200,NIST,,,,,
15009.44,Kr,5800,NIST,,,,,
15103.8,Xe,650,NIST,,Order 50,,,NIRSPEC-5
15144.24,Ne,650,NIST,,,,,
15176.84,Ar,13000,NIST,,,,,
15195.08,Ne,750,NIST,,,,,
15213.70,Kr,15000,NIST,,,,,
15234.88,Ne,38000,NIST,,,,,
15243.79,Kr,250000,NIST,,,,,
15306.06,Ar,13000,NIST,,,,,
15330.67,Kr,6800,NIST,,,,,
15333.53,Ar,8300,NIST,,,,,
15339.16,Kr,120000,NIST,,,,,
15353.5	,Ar,2500,U Kentucky,,,,,
15357.32,Ar,2000,NIST,,,,,
15376.24,Kr,39000,NIST,,,Order 49,,
15399.18,Kr,400,NIST,,,,,
15406.85,Ar,1800,NIST,,,,,
15411.80,Ne,400,NIST,,,,,
15422.22,Xe,48700,NIST,,,,,
15437.85,Kr,800,NIST,,,,,
15475.24,Kr,400,NIST,,,,,
15478.26,Kr,49000,NIST,,,,,
15495.2,Xe,550,NIST,,,,,
15559.71,Ar,550,NIST,,,,,
15561.4	,Xe,1900,NIST,,,,,
15639.25,Kr,1450,NIST,,,,,
15685.28,Kr,7700,NIST,,,,,
15691.07,Kr,200,NIST,,,,,
15739.21,Ar,250,NIST,,Order 48,,,
15775.75,Kr,400,NIST,,,,,
15780.93,Ar,200,NIST,,,,,
15821.10,Ar,500,NIST,,,,,
15824.41,Kr,5500,NIST,,,,,
15827.18,Kr,750,NIST,,,,,
15887.51,Ar,1200,NIST,,,,,
15895.02,Kr,4400,NIST,,,,,
15904.03,Ar,3300,NIST,,,,,
15930.13,Kr,1700,NIST,,,,,
15983.9	,Xe,2950,NIST,,,,,
15993.86,Ar,11000,NIST,,,,,
16044.3	,Xe,1000,NIST,,,Order 47,,
16056.70,Kr,550,NIST,,,,,
16057.66,Xe,11900,ESO List,,,,,
16113.73,Kr,750,NIST,,,,,
16127.06,Ar,1800,NIST,,,,,
16184.44,Ar,2500,NIST,,,,,
16248.74,Kr,300,NIST,,,,,
16268.51,Ar,470,NIST,,,,,
16273.40,Ne,250,NIST,,,,,
16319.72,Kr,1700,NIST,,,,,
16351.39,Kr,850,NIST,,,,,
16441.07,Ar,2650,NIST,,Order 46,,,
16470.37,Kr,2100,NIST,,,,,
16524.37,Ar,15300,NIST,,,,,
16553.83,Ar,1900,NIST,,,,,
16554.92,Ar,500,NIST,,,,,
16559.0,Xe,1200,NIST,,,,,
16577.58,Kr,2650,NIST,,,,,
16731.10,Kr,9900,NIST,,,Order 45,,
16732.73,Xe,19600,NIST,,,,,
16744.65,Ar,2200,NIST,,,,,
16750.30,Xe,250,NIST,,,,,
16789.72,Kr,230000,NIST,,,,,
16858.10,Kr,73000,NIST,,,,,
16887.69,Xe,600,NIST,,,,,
16895.07,Kr,200000,NIST,,,,,
16901.38,Kr,100000,NIST,,,,,
16940.44,Kr,190000,NIST,,,,,
16945.21,Ar,110000,NIST,,,,,
16999.13,Kr,1620,NIST,,,,,
17074.69,Kr,1270,NIST,,,,,
17103.45,Kr,18000,NIST,,,,,
17166.62,Ne,1350,NIST,,Order 44,,,
17235.43,Kr,1100,NIST,,,,,
17330.53,Xe,13900,NIST,,,,,
17372.36,Kr,28600,NIST,,,,,
17406.66,Ar,240,U Kentucky,,,,,
17409.19,Kr,4950,NIST,,,,,
17449.67,Ar,4000,U Kentucky,,,,,
17487.75,Xe,320,NIST,,,,,
17621.65,Kr,3900,NIST,,,Order 43,,
17635.36,Kr,650,NIST,,,,,
17775.57,Kr,600,NIST,,,,,
17828.86,Ar,530,NIST,,,,,
17847.62,Kr,9500,NIST,,,,,
17920.9,Ar,7550,U Kentucky,,,,,
18007.15,Kr,1000,NIST,,Order 42,,NIRSPEC-7,
18088.12,Ne,500,NIST,,,,,
18104.38,Kr,250,NIST,,,,,
18172.29,Kr,70000,NIST,,,,,
18281.63,Ne,7250,NIST,,,,,
18287.61,Ne,5850,NIST,,,,,
18308.97,Ne,4660,NIST,,,,,
18364.11,Ne,1390,NIST,,,,,
18376.46,Ne,7420,NIST,,,Order 41,,
